gripper	,255
movej	,0.1	,0.2	,0.0	,0.371926	,0	,-1.76311	,0	,-1.9602	,0
movej	,0.1	,0.2	,0.452098	,0.363788	,0.00265113	,-1.72297	,-0.00949213	,-1.95533	,-0.122212
movej	,0.1	,0.2	,0.452098	,0.337081	,0.00265113	,-1.38459	,-0.00949213	,-1.49501	,-0.122212
movej	,0.1	,0.2	,0.392418	,0.0818291	,0.00265113	,-1.19055	,-0.00949213	,-1.27693	,-0.122212

movej	,0.1	,0.2	,0.393888	,-0.203288	,-0.00270749	,-1.02605	,0.00264139	,-1.08239	,-0.135581
movel	,0.01	,0.1	,0.578722	,0.232631	,0.715455	,-2.99771	,0.820242	,-2.55212
movel	,0.01	,0.1	,0.569873	,0.232593	,0.715408	,-2.99776	,0.820115	,-2.55216
movel	,0.01	,0.1	,0.569963	,0.232626	,0.705502	,-2.99798	,0.819429	,-2.55234
movel	,0.01	,0.1	,0.575453	,0.232693	,0.705589	,-2.99789	,0.819661	,-2.55225
movel	,0.01	,0.1	,0.567299	,0.232647	,0.705537	,-2.99794	,0.81952	,-2.55231
movej	,0.1	,0.2	,0.390022	,-0.221866	,-0.00330815	,-0.940876	,0.00652711	,-2.01539	,-0.140416
movej	,0.1	,0.2	,0.390022	,0.180068	,-0.00330815	,-1.6004	,0.00652711	,-2.01539	,-0.140416
movej	,0.1	,0.2	,0.0	,0.371926	,0	,-1.76311	,0	,-1.9602	,0
