gripper	,255
movej	,0.1	,0.2	,0.0	,0.371926	,0	,-1.76311	,0	,-1.9602	,0
movej	,0.1	,0.2	,-0.416593	,0.352062	,-0.147499	,-1.61927	,0.205074	,-2.04802	,-0.226316
movej	,0.1	,0.2	,-0.416593	,0.344449	,-0.147499	,-1.37399	,0.205074	,-1.70141	,-0.226316
movej	,0.1	,0.2	,-0.331397	,0.0569596	,-0.147499	,-1.37399	,0.205074	,-0.934927	,-0.226316
movej	,0.1	,0.2	,-0.326834	,-0.0454232	,-0.144268	,-1.35106	,0.197499	,-0.721411	,-0.213905
movej	,0.1	,0.2	,-0.436471	,-0.385145	,-0.290855	,-0.714531	,0.490504	,-1.39133	,-0.65495
movel	,0.01	,0.1	,0.574884	,-0.282227	,0.729031	,-2.98204	,0.740545	,-3.01427
movel	,0.01	,0.1	,0.559729	,-0.282212	,0.728984	,-2.98222	,0.740468	,-3.0144
movej	,0.1	,0.2	,-0.409327	,-0.357696	,-0.291816	,-0.7885	,0.474429	,-1.34196	,-0.66062
movel	,0.01	,0.1	,0.574036	,-0.282672	,0.718224	,-2.98342	,0.739864	,-3.01607
movel	,0.01	,0.1	,0.556022	,-0.282633	,0.718134	,-2.98378	,0.739719	,-3.01631

movej	,0.1	,0.2	,-0.534765	,-0.343683	,-0.292277	,-0.816212	,0.473018	,-1.83885	,-0.668613
movej	,0.1	,0.2	,-0.489582	,-0.336194	,-0.311653	,-0.935484	,0.220798	,-2.00368	,-0.668613
movej	,0.1	,0.2	,-0.355208	,-0.336194	,-0.311653	,-1.06618	,-0.0191217	,-2.00368	,-0.668613
movej	,0.1	,0.2	,-0.355208	,0.215466	,-0.311653	,-1.57059	,-0.0191217	,-2.00368	,-0.668613
movej	,0.1	,0.2	,0.0	,0.371926	,0	,-1.76311	,0	,-1.9602	,0
