gripper	,150
movej	,0.1	,0.2	,0.0	,0.371926	,0	,-1.76311	,0	,-1.9602	,0
movej	,0.1	,0.2	,-0.539576	,0.132749	,-0.0064846	,-1.52234	,-0.0219615	,-1.95666	,-0.561868
movej	,0.1	,0.2	,-0.539576	,-0.203814	,-0.0064846	,-1.52234	,-0.0219615	,-1.95666	,-0.561868
movej	,0.1	,0.2	,-0.539576	,-0.364319	,-0.0064846	,-0.862393	,-0.0219615	,-1.95666	,-0.561868
movej	,0.1	,0.2	,-0.539576	,-0.364319	,-0.0064846	,-0.862393	,-0.0219615	,-1.54363	,-0.561868
movel	,0.01	,0.1	,0.523554	,-0.324592	,0.574489	,-2.91656	,0.299947	,-3.09422
movej	,0.1	,0.2	,-0.542365	,-0.390245	,-0.00707145	,-1.00864	,-0.0208106	,-1.33618	,-0.561326
movej	,0.1	,0.2	,-0.542365	,-0.390245	,-0.00707145	,-1.00864	,-0.0208106	,-1.35605	,-0.561326
movel	,0.01	,0.1	,0.515763	,-0.288821	,0.601024	,-2.90867	,0.311103	,-3.09174
movej	,0.1	,0.2	,-0.539576	,-0.364319	,-0.0064846	,-0.862393	,-0.0219615	,-1.54363	,-0.561868
movej	,0.1	,0.2	,-0.539576	,-0.364319	,-0.0064846	,-0.862393	,-0.0219615	,-1.95666	,-0.561868


movej	,0.1	,0.2	,-0.539576	,-0.203814	,-0.0064846	,-1.52234	,-0.0219615	,-1.95666	,-0.561868
movej	,0.1	,0.2	,-0.539576	,0.132749	,-0.0064846	,-1.52234	,-0.0219615	,-1.95666	,-0.561868
movej	,0.1	,0.2	,0.0	,0.371926	,0	,-1.76311	,0	,-1.9602	,0
