gripper	,255
movej	,0.1	,0.2	,0.0	,0.371926	,0	,-1.76311	,0	,-1.9602	,0
movej	,0.1	,0.2	,-0.40039	,0.37192	,0	,-1.76311	,0	,-1.9602	,0
movej	,0.1	,0.2	,-0.40039	,0.37192	,0	,-1.57402	,0	,-0.566594	,0
movej	,0.1	,0.2	,-0.0157617	,0.371914	,0	,-1.41907	,0	,-1.02835	,0
movej	,0.1	,0.2	,-0.0117522	,0.284032	,-0.0170298	,-1.36408	,0.0132546	,-0.825977	,-0.0176098
movel	,0.01	,0.1	,0.44613	,-0.0125725	,0.835375	,-3.14106	,1.23536	,3.12603
movel	,0.01	,0.1	,0.432621	,-0.0125683	,0.835449	,-3.14108	,1.23556	,3.12602
movej	,0.1	,0.2	,-0.457817	,0.294215	,-0.01712	,-1.37096	,0.0132278	,-1.07373	,-0.0177727
movej	,0.1	,0.2	,-0.457817	,0.294215	,-0.01712	,-1.68971	,0.0132278	,-1.93306	,-0.0177727
movej	,0.1	,0.2	,0.0	,0.371926	,0	,-1.76311	,0	,-1.9602	,0
